global_sales,critic_score
2.47,92
2.46,87
2.45,82
2.45,83
2.45,83
2.43,79
2.43,81
2.43,83
2.42,71
2.42,73
2.42,78
2.42,82
2.42,84
2.41,62
2.41,66
2.41,77
2.41,82
2.4,82
2.39,73
2.38,83
2.38,91
2.37,42
2.37,62
2.37,71
2.37,83
2.37,85
2.37,85
2.37,96
2.35,73
2.35,81
2.34,66
2.34,71
2.34,78
2.34,84
2.34,86
2.34,89
2.31,84
2.31,86
2.31,90
2.3,75
2.29,76
2.29,80
2.28,68
2.28,72
2.28,76
2.28,77
2.28,78
2.28,82
2.27,71
2.27,81
2.26,76
2.26,80
2.26,88
2.25,79
2.25,80
2.25,84
2.25,87
2.25,87
2.24,69
2.24,74
2.24,77
2.24,83
2.24,87
2.23,74
2.23,79
2.23,80
2.23,91
2.22,80
2.22,84
2.22,92
2.21,71
2.21,73
2.2,79
2.2,80
2.2,88
2.2,88
2.2,92
2.2,92
2.19,80
2.19,81
2.19,94
2.18,81
2.18,82
2.18,82
2.16,66
2.16,74
2.16,79
2.16,80
2.16,82
2.15,69
2.14,83
2.14,90
2.13,64
2.13,77
2.13,87
2.12,62
2.12,85
2.11,78
2.11,84
2.11,89
2.11,90
2.1,73
2.1,81
2.1,84
2.1,86
2.09,74
2.09,83
2.09,84
2.09,89
2.08,44
2.08,64
2.08,69
2.08,77
2.08,80
2.08,85
2.08,90
2.08,95
2.07,49
2.07,71
2.07,72
2.07,73
2.06,55
2.06,82
2.06,83
2.06,88
2.06,89
2.06,92
2.05,59
2.05,72
2.05,75
2.04,72
2.04,73
2.04,78
2.04,82
2.04,86
2.03,48
2.03,73
2.03,86
2.03,89
2.02,62
2.02,70
2.02,81
2.02,89
2.01,64
2.01,89
2.01,92
2,71
2,76
2,88
1.99,76
1.99,87
1.98,75
1.98,80
1.98,80
1.97,56
1.97,68
1.96,81
1.96,85
1.95,67
1.95,69
1.95,88
1.95,90
1.95,93
1.94,63
1.94,71
1.94,77
1.94,78
1.94,80
1.94,83
1.94,87
1.94,87
1.93,72
1.93,79
1.93,86
1.93,93
1.92,57
1.92,80
1.92,80
1.92,84
1.92,88
1.92,92
1.91,79
1.91,83
1.91,86
1.9,90
1.89,69
1.89,70
1.88,29
1.88,49
1.88,74
1.88,81
1.88,85
1.88,88
1.87,76
